Feature,Importance
Light_conditions,0.09965065194172809
Number_of_vehicles_involved,0.08484244607113961
Number_of_casualties,0.0693623841930874
Age_band_of_driver,0.06507306695086329
Cause_of_accident,0.0623224688129667
Types_of_Junction,0.06095884818974776
Driving_experience,0.0576731079903439
Day_of_week,0.05355302515641233
Area_accident_occured,0.05053944204795891
Type_of_vehicle,0.04984230453976591
Lanes_or_Medians,0.0422705501883633
Time_Period,0.04110770367200447
Road_surface_conditions,0.03773936257918484
Vehicle_movement,0.03708823586200544
Educational_level,0.03618238094521853
Vehicle_driver_relation,0.033763497800457495
Type_of_collision,0.033266787668553385
Weather_conditions,0.02280153114587303
Owner_of_vehicle,0.017584638063895278
Casualty_severity,0.017538052721096067
Road_allignment,0.011045934901436186
Sex_of_driver,0.010183565742940244
Road_surface_type,0.005610012814957758
